review,label
"Neither good nor bad, just okay.",0
"Neither good nor bad, just okay.",2
"It’s just fine, nothing to complain about.",2
"Exceeded my expectations, highly recommend!",2
"Horrible quality, broke in two days.",1
"Completely useless, waste of money.",1
"Exceeded my expectations, highly recommend!",2
"Horrible quality, broke in two days.",2
Very satisfied with this product!,1
Very satisfied with this product!,1
Very satisfied with this product!,2
"Neither good nor bad, just okay.",1
"Customer support was horrible, never again.",1
Amazing quality and fast delivery.,2
Best purchase I've made this year!,1
"Horrible quality, broke in two days.",0
Best purchase I've made this year!,0
"Exceeded my expectations, highly recommend!",1
Best purchase I've made this year!,2
"Neither good nor bad, just okay.",2
"It’s just fine, nothing to complain about.",2
Best purchase I've made this year!,1
Very satisfied with this product!,2
Best purchase I've made this year!,1
"Worst experience ever, totally disappointed.",1
"Worst experience ever, totally disappointed.",1
Very satisfied with this product!,0
"Worst experience ever, totally disappointed.",0
"The service was okay, nothing special.",1
Best purchase I've made this year!,2
"Exceeded my expectations, highly recommend!",0
Terrible experience! I will never buy again.,0
"Exceeded my expectations, highly recommend!",2
Terrible experience! I will never buy again.,0
I love this product! It works perfectly.,1
Best purchase I've made this year!,2
"Not great, but not the worst either.",2
Very satisfied with this product!,1
"Worst experience ever, totally disappointed.",0
"Worst experience ever, totally disappointed.",1
I love this product! It works perfectly.,2
"Average experience, could be better.",2
"Average experience, could be better.",0
Terrible experience! I will never buy again.,2
Very satisfied with this product!,0
"Neither good nor bad, just okay.",0
Amazing quality and fast delivery.,0
"Completely useless, waste of money.",0
"Exceeded my expectations, highly recommend!",0
"Horrible quality, broke in two days.",2
Best purchase I've made this year!,0
Terrible experience! I will never buy again.,1
Amazing quality and fast delivery.,0
Terrible experience! I will never buy again.,1
I love this product! It works perfectly.,1
Terrible experience! I will never buy again.,1
"Customer support was horrible, never again.",1
"Completely useless, waste of money.",2
I love this product! It works perfectly.,1
"Exceeded my expectations, highly recommend!",0
"Not great, but not the worst either.",1
"Horrible quality, broke in two days.",0
Amazing quality and fast delivery.,2
"Customer support was horrible, never again.",0
"Horrible quality, broke in two days.",1
"Horrible quality, broke in two days.",1
"Customer support was horrible, never again.",1
"Neither good nor bad, just okay.",0
"It’s just fine, nothing to complain about.",0
"The service was okay, nothing special.",0
"Neither good nor bad, just okay.",2
"Exceeded my expectations, highly recommend!",0
Very satisfied with this product!,1
"Worst experience ever, totally disappointed.",1
Best purchase I've made this year!,1
Terrible experience! I will never buy again.,0
Terrible experience! I will never buy again.,1
Amazing quality and fast delivery.,0
I love this product! It works perfectly.,2
"Not great, but not the worst either.",1
"Completely useless, waste of money.",2
"Customer support was horrible, never again.",1
Best purchase I've made this year!,1
Terrible experience! I will never buy again.,0
"Average experience, could be better.",1
"Average experience, could be better.",1
"Neither good nor bad, just okay.",1
"Exceeded my expectations, highly recommend!",1
"Completely useless, waste of money.",1
"Customer support was horrible, never again.",2
"Worst experience ever, totally disappointed.",1
"Completely useless, waste of money.",2
"Worst experience ever, totally disappointed.",2
"Customer support was horrible, never again.",2
I love this product! It works perfectly.,2
Amazing quality and fast delivery.,2
"The service was okay, nothing special.",0
"The service was okay, nothing special.",1
"Average experience, could be better.",0
Terrible experience! I will never buy again.,2
"Average experience, could be better.",2
"Average experience, could be better.",1
"Customer support was horrible, never again.",0
Terrible experience! I will never buy again.,1
"Worst experience ever, totally disappointed.",0
"Average experience, could be better.",1
Amazing quality and fast delivery.,1
"Worst experience ever, totally disappointed.",2
"Worst experience ever, totally disappointed.",0
Very satisfied with this product!,2
"Worst experience ever, totally disappointed.",2
Amazing quality and fast delivery.,2
"Worst experience ever, totally disappointed.",0
"It’s just fine, nothing to complain about.",0
"Customer support was horrible, never again.",0
